"","timestamp","count","temp","tempFeels","humidity","wind_speed","weatherCond","is_holiday","day","season","hour"
"1","2015-01-04 00:00:00",182,3,2,93,6,3,0,"7",3,"00"
"2","2015-01-04 01:00:00",138,3,2.5,93,5,1,0,"7",3,"01"
"3","2015-01-04 02:00:00",134,2.5,2.5,96.5,0,1,0,"7",3,"02"
"4","2015-01-04 03:00:00",72,2,2,100,0,1,0,"7",3,"03"
"5","2015-01-04 04:00:00",47,2,0,93,6.5,1,0,"7",3,"04"
"6","2015-01-04 05:00:00",46,2,2,93,4,1,0,"7",3,"05"
"7","2015-01-04 06:00:00",51,1,-1,100,7,4,0,"7",3,"06"
"8","2015-01-04 07:00:00",75,1,-1,100,7,4,0,"7",3,"07"
"9","2015-01-04 08:00:00",131,1.5,-1,96.5,8,4,0,"7",3,"08"
"10","2015-01-04 09:00:00",301,2,-0.5,100,9,3,0,"7",3,"09"
"11","2015-01-04 10:00:00",528,3,-0.5,93,12,3,0,"7",3,"10"
"12","2015-01-04 11:00:00",727,2,-1.5,100,12,3,0,"7",3,"11"
"13","2015-01-04 12:00:00",862,2,-1.5,96.5,13,4,0,"7",3,"12"
"14","2015-01-04 13:00:00",916,3,-0.5,87,15,3,0,"7",3,"13"
"15","2015-01-04 14:00:00",1039,2.5,0,90,8,3,0,"7",3,"14"
"16","2015-01-04 15:00:00",869,2,-1.5,93,11,3,0,"7",3,"15"
"17","2015-01-04 16:00:00",737,3,0,93,12,3,0,"7",3,"16"
"18","2015-01-04 17:00:00",594,3,0,93,11,3,0,"7",3,"17"
"19","2015-01-04 18:00:00",522,3,1.5,93,6.5,3,0,"7",3,"18"
"20","2015-01-04 19:00:00",379,3,1,93,7,3,0,"7",3,"19"
"21","2015-01-04 20:00:00",328,3,3,93,4,3,0,"7",3,"20"
"22","2015-01-04 21:00:00",221,3,2.5,93,5,4,0,"7",3,"21"
"23","2015-01-04 22:00:00",178,3,2,93,6,4,0,"7",3,"22"
"24","2015-01-04 23:00:00",157,4,3.5,87,5,4,0,"7",3,"23"
"25","2015-01-05 00:00:00",83,4,3,93,6,4,0,"1",3,"00"
"26","2015-01-05 01:00:00",67,4,3.5,93,5,4,0,"1",3,"01"
"27","2015-01-05 02:00:00",32,5,4,87,6,4,0,"1",3,"02"
"28","2015-01-05 03:00:00",22,6,4.5,84,7.5,4,0,"1",3,"03"
